Gene,Pathway,Is PDMR Focus,Alteration Type,N altered,N wildtype,Freq %,Endpoint,Median altered (mo),Median wildtype (mo),Log-rank p,HR (multivariate),95% CI,Cox p,Significant?
All Primary Genes (OR),All Primary Pathway Genes,False,Composite OR — all primary pathway genes,44,608,6.7,EFS,9.9,NR,< 0.001,4.21,[2.90–6.12],< 0.001,Yes
MYCN/SIX1-SIX2 (OR),Transcription + Progenitor Axis,False,Composite OR — MYCN | SIX1/SIX2,23,629,3.5,EFS,10.5,NR,< 0.001,3.78,[2.31–6.19],< 0.001,Yes
★ TP53/MDM4/MDM2 (OR),Cell Cycle + p53 Axis,True,Composite OR — TP53 | MDM4 | MDM2,21,631,3.2,OS,NR,NR,< 0.001,3.55,[1.85–6.83],< 0.001,Yes
All Primary Genes (OR),All Primary Pathway Genes,False,Composite OR — all primary pathway genes,44,608,6.7,OS,NR,NR,< 0.001,3.38,[2.06–5.54],< 0.001,Yes
MYCN/SIX1-SIX2 (OR),Transcription + Progenitor Axis,False,Composite OR — MYCN | SIX1/SIX2,23,629,3.5,OS,NR,NR,< 0.001,3.27,[1.70–6.31],< 0.001,Yes
★ TP53/MDM4/MDM2 (OR),Cell Cycle + p53 Axis,True,Composite OR — TP53 | MDM4 | MDM2,21,631,3.2,EFS,14.2,NR,0.001,2.34,[1.33–4.11],0.003,Yes
★ IGF2 (Expression),PDMR Focus (imprinting/expr),True,mRNA overexpression (z > 1.5),10,115,8.0,OS,NR,NR,—,—,—,—,Not tested
★ IGF2 (Expression),PDMR Focus (imprinting/expr),True,mRNA overexpression (z > 1.5),10,115,8.0,EFS,NR,NR,—,—,—,—,Not tested
★ IGF2 (CNA),PDMR Focus (imprinting/CNA),True,LOI / Gain (CNA ≥ +1),5,119,4.0,OS,NR,NR,—,—,—,—,Not tested
★ IGF2 (CNA),PDMR Focus (imprinting/CNA),True,LOI / Gain (CNA ≥ +1),5,119,4.0,EFS,NR,NR,—,—,—,—,Not tested
MYCN,Transcription Reg,False,Amplification (CNA ≥ +2),18,634,2.8,EFS,NR,NR,—,—,—,—,Not tested
MYCN,Transcription Reg,False,Amplification (CNA ≥ +2),18,634,2.8,OS,NR,NR,—,—,—,—,Not tested
TP53,Cell Cycle,False,Truncating mutation,15,637,2.3,EFS,NR,NR,—,—,—,—,Not tested
TP53,Cell Cycle,False,Truncating mutation,15,637,2.3,OS,NR,NR,—,—,—,—,Not tested
WNT Axis (OR),WNT Axis,False,Composite OR — CTNNB1 | AMER1 | WT1,9,643,1.4,EFS,NR,NR,—,—,—,—,Not tested
