Gene,Is PDMR Focus,Cohort,Endpoint,Z-score threshold,N high,N low,Freq high %,Median HIGH (mo),Median LOW (mo),Log-rank p,HR (vs. LOW),95% CI,Cox p,Significant?
★ MDM4,True,TARGET_2018,EFS,1.0,53,77,40.8,9.4,11.3,0.059,1.40,[0.94–2.07],0.094,No
★ MDM2,True,TARGET_2018,OS,1.0,36,94,27.7,NR,NR,0.077,0.55,[0.28–1.07],0.079,No
SIX2,False,TARGET_2018,OS,1.0,22,108,16.9,57.0,NR,0.123,1.67,[0.88–3.17],0.120,No
MYCN,False,TARGET_2018,OS,1.0,29,101,22.3,42.0,NR,0.136,1.57,[0.86–2.85],0.139,No
MLLT1,False,TARGET_2018,OS,1.0,20,110,15.4,34.0,NR,0.148,1.61,[0.82–3.18],0.164,No
MLLT1,False,TARGET_2018,EFS,1.0,20,110,15.4,8.2,11.1,0.199,1.35,[0.80–2.29],0.257,No
MYCN,False,TARGET_2018,EFS,1.0,29,101,22.3,8.2,11.7,0.223,1.32,[0.83–2.11],0.242,No
★ MDM4,True,TARGET_2018,OS,1.0,53,77,40.8,86.0,NR,0.401,1.26,[0.73–2.15],0.404,No
CTNNB1,False,TARGET_2018,OS,1.0,25,105,19.2,NR,NR,0.418,0.74,[0.35–1.58],0.441,No
CTNNB1,False,TARGET_2018,EFS,1.0,25,105,19.2,8.5,11.1,0.485,0.85,[0.50–1.43],0.531,No
★ MDM2,True,TARGET_2018,EFS,1.0,36,94,27.7,11.7,10.5,0.554,1.08,[0.70–1.65],0.731,No
SIX2,False,TARGET_2018,EFS,1.0,22,108,16.9,8.1,11.1,0.603,1.21,[0.72–2.05],0.473,No
TP53,False,TARGET_2018,EFS,1.0,18,112,13.8,—,—,—,—,—,—,Not tested (gate)
TP53,False,TARGET_2018,OS,1.0,18,112,13.8,—,—,—,—,—,—,Not tested (gate)
SIX1,False,TARGET_2018,EFS,1.0,16,114,12.3,—,—,—,—,—,—,Not tested (gate)
SIX1,False,TARGET_2018,OS,1.0,16,114,12.3,—,—,—,—,—,—,Not tested (gate)
DROSHA,False,TARGET_2018,EFS,1.0,12,118,9.2,—,—,—,—,—,—,Not tested (gate)
DROSHA,False,TARGET_2018,OS,1.0,12,118,9.2,—,—,—,—,—,—,Not tested (gate)
DGCR8,False,TARGET_2018,EFS,1.0,7,123,5.4,—,—,—,—,—,—,Not tested (gate)
DGCR8,False,TARGET_2018,OS,1.0,7,123,5.4,—,—,—,—,—,—,Not tested (gate)
WT1,False,TARGET_2018,EFS,1.0,13,117,10.0,—,—,—,—,—,—,Not tested (gate)
WT1,False,TARGET_2018,OS,1.0,13,117,10.0,—,—,—,—,—,—,Not tested (gate)
★ IGF2,True,TARGET_2018,EFS,1.5,10,120,7.7,—,—,—,—,—,—,Not tested (gate)
★ IGF2,True,TARGET_2018,OS,1.5,10,120,7.7,—,—,—,—,—,—,Not tested (gate)
TP53,False,TARGET_GDC,OS,1.0,8,46,14.8,—,—,—,—,—,—,Not tested (gate)
MYCN,False,TARGET_GDC,OS,1.0,10,44,18.5,—,—,—,—,—,—,Not tested (gate)
SIX1,False,TARGET_GDC,OS,1.0,5,49,9.3,—,—,—,—,—,—,Not tested (gate)
SIX2,False,TARGET_GDC,OS,1.0,11,43,20.4,—,—,—,—,—,—,Not tested (gate)
DROSHA,False,TARGET_GDC,OS,1.0,8,46,14.8,—,—,—,—,—,—,Not tested (gate)
DGCR8,False,TARGET_GDC,OS,1.0,5,49,9.3,—,—,—,—,—,—,Not tested (gate)
CTNNB1,False,TARGET_GDC,OS,1.0,6,48,11.1,—,—,—,—,—,—,Not tested (gate)
WT1,False,TARGET_GDC,OS,1.0,14,40,25.9,—,—,—,—,—,—,Not tested (gate)
MLLT1,False,TARGET_GDC,OS,1.0,8,46,14.8,—,—,—,—,—,—,Not tested (gate)
★ MDM4,True,TARGET_GDC,OS,1.0,5,49,9.3,—,—,—,—,—,—,Not tested (gate)
★ MDM2,True,TARGET_GDC,OS,1.0,4,50,7.4,—,—,—,—,—,—,Not tested (gate)
★ IGF2,True,TARGET_GDC,OS,1.5,5,49,9.3,—,—,—,—,—,—,Not tested (gate)
